ABQ ALBUQUERQUE, NM
ALB ALBANY, NY
AMA AMARILLO, TX
ATL ATLANTA, GA
AUA ARUBA, Aruba
AUS AUSTIN, TX
BDL HARTFORD, CT
BHM BIRMINGHAM, AL
BNA NASHVILLE, TN
BOI BOISE, ID
BOS BOSTON LOGAN, MA
BUF BUFFALO/NIAGARA, NY
BUR BURBANK, CA
BWI BALTIMORE/WASHINGTON, MD
BZE BELIZE CITY, Belize
CHS CHARLESTON, SC
CLE CLEVELAND, OH
CLT CHARLOTTE, NC
CMH COLUMBUS, OH
CRP CORPUS CHRISTI, TX
CUN CANCUN, Mexico
CVG CINCINNATI, OH
DAL DALLAS (LOVE FIELD), TX
DCA WASHINGTON (REAGAN NATIONAL), DC
DEN DENVER, CO
DSM DES MOINES, IA
DTW DETROIT, MI
ECP PANAMA CITY BEACH, FL
ELP EL PASO, TX
EWR NEW YORK/NEWARK, NJ
FLL FT. LAUDERDALE, FL
FNT FLINT, MI
GCM GRAND CAYMAN, Cayman Islands
GEG SPOKANE, WA
GRR GRAND RAPIDS, MI
GSP GREENVILLE/SPARTANBURG, SC
HAV HAVANA, Cuba
HOU HOUSTON (HOBBY), TX
HRL HARLINGEN, TX
IAD WASHINGTON (DULLES), DC
ICT WICHITA, KS
IND INDIANAPOLIS, IN
ISP LONG ISLAND/ISLIP, NY
JAX JACKSONVILLE, FL
LAS LAS VEGAS, NV
LAX LOS ANGELES, CA
LBB LUBBOCK, TX
LGA NEW YORK (LAGUARDIA), NY
LGB LONG BEACH, CA
LIR LIBERIA, Costa Rica
LIT LITTLE ROCK, AR
MAF MIDLAND/ODESSA, TX
MBJ MONTEGO BAY, Jamaica
MCI KANSAS CITY, MO
MCO ORLANDO, FL
MDW CHICAGO (MIDWAY), IL
MEM MEMPHIS, TN
MEX MEXICO CITY, Mexico
MHT MANCHESTER, NH
MKE MILWAUKEE, WI
MSP MINNEAPOLIS/ST. PAUL (TERMINAL 2), MN
MSY NEW ORLEANS, LA
NAS NASSAU, Bahamas
OAK OAKLAND, CA
OKC OKLAHOMA CITY, OK
OMA OMAHA, NE
ONT ONTARIO/LA, CA
ORF NORFOLK, VA
PBI WEST PALM BEACH, FL
PDX PORTLAND, OR
PHL PHILADELPHIA, PA
PHX PHOENIX, AZ
PIT PITTSBURGH, PA
PLS PROVIDENCIALES, Turks and Caicos
PNS PENSACOLA, FL
PUJ PUNTA CANA, DO
PVD PROVIDENCE, RI
PVR PUERTO VALLARTA, MX
PWM PORTLAND, ME
RDU RALEIGH/DURHAM, NC
RIC RICHMOND, VA
RNO RENO/TAHOE, NV
ROC ROCHESTER, NY
RSW FT. MYERS, FL
SAN SAN DIEGO, CA
SAT SAN ANTONIO, TX
SDF LOUISVILLE, KY
SEA SEATTLE/TACOMA, WA
SFO SAN FRANCISCO, CA
SJC SAN JOSE, CA
SJD CABO SAN LUCAS/LOS CABOS, MX
SJO SAN JOSE, Costa Rica
SJU SAN JUAN, PR
SLC SALT LAKE CITY, UT
SMF SACRAMENTO, CA
SNA ORANGE COUNTY/SANTA ANA, CA
STL ST. LOUIS, MO
TPA TAMPA, FL
TUL TULSA, OK
TUS TUCSON, AZ
