Log Date, Departure, Arrival, Date, Flight, DepartTime, ArriveTime, Duration, Cost, Nonstop
2017-11-10 00:37:28.552188, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-10 00:37:28.790432, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 170
2017-11-10 00:37:29.013668, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-10 00:37:29.244373, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-10 00:37:29.471412, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-10 00:37:29.694268, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 195
2017-11-10 00:37:29.933674, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 220
2017-11-10 00:37:30.301839, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-10 00:37:30.532556, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-10 00:37:30.749821, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-10 00:37:30.977372, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-10 00:37:31.218240, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-10 00:37:31.447483, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-10 00:37:31.700163, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-10 00:37:31.941757, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-10 00:37:32.226114, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-10 00:37:32.484250, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-10 00:37:32.720422, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-10 00:37:43.686563, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-10 00:37:43.900535, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-10 00:37:44.116048, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-10 00:37:44.395739, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-10 00:37:44.645379, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-10 00:37:44.912101, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-10 00:37:45.140383, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 191
2017-11-10 00:37:45.391169, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-10 00:37:45.604335, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-10 00:37:45.843482, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-10 00:37:46.091149, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-10 00:37:46.309065, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
